Ortalama_SICAKLIK;Toplam_CIROILKFIYAT;Toplam_CIRO;Toplam_Musteri_Sat;Indirim_Yuzdesi;Istinyepark;Akasya;Akbati;Beylikduzu;Brandium;Capitol;Forum_Istanbul ;Forum_Marmara;Mall_Of;MAltepePark;MARMARAPARK;Metrocity;Natilus;Starcity;YKM_FORUM_ISTANBUL;YKM_FORUM_MARMARA;Ozel_Gunler;Satis_Normalize;;;
8;17064;14298;70795;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
8;15907;11861;33988;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;19947;15896;52796;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;21254;16891;57846;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
4;30062;21452;66466;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
8;32802;24723;69108;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
12;30851;23273;74034;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;31020;25217;77705;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
7;29755;23837;61006;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
10;24801;21878;64385;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
8;18378;16311;51786;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;22567;20899;49291;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;20178;19278;33662;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;21875;21386;37502;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;24035;23314;36873;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
14;28374;27155;45624;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
16;22301;21466;28702;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
16;24245;23461;32964;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
14;27155;26525;69349;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
20;19136;16448;28758;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;27143;25077;35094;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
22;22471;21352;37538;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;22070;21142;29504;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;30078;28832;46164;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
22;17806;17150;32363;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
24;17264;15220;41427;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;15509;14310;39126;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
26;20390;17235;34189;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
25;34014;24428;32815;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;50120;34070;41178;32;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;42421;29837;44816;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;36239;26738;33426;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;27334;20738;31878;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;29896;23019;45510;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;43669;31735;59106;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;36199;29463;49061;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
23;36227;32874;37726;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
21;26612;25956;35490;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;27268;25504;30559;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;24731;23816;41268;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;17758;17260;36671;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;15952;14101;32350;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;23643;22149;32073;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;21991;20465;44528;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
14;17899;16166;45305;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
14;17039;14554;46188;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;18064;16388;53432;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
8;13904;12975;35771;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;13516;12589;32663;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;15198;14021;31791;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;15701;14461;49734;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
10;25821;22375;67181;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
4;24326;20706;89493;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
3;18000;14204;54621;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
6;24566;19163;40412;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;20067;15861;29382;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;23930;18493;35571;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
9;24291;19463;54631;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
5;20709;16385;59341;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
4;19555;14271;57060;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;25122;17830;62748;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
8;21588;16155;47198;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
7;32803;20571;57852;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
6;19762;16129;65265;18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;33186;29721;77619;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;54965;50317;89979;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
9;34320;32071;71316;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;31090;29844;65221;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;28041;26406;54815;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;32194;27757;20323;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
18;40352;36956;24013;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;30085;28614;44271;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;31951;30630;43283;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
19;29159;27373;50343;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
20;35792;34035;45322;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
22;47591;43988;62654;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
22;44980;36476;47367;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
21;46532;34116;44075;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;50527;35930;49769;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
25;59460;37322;71485;37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
25;77129;45380;64302;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;37229;25494;46249;32;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
28;34742;23925;59298;31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;30466;21416;51365;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;27542;20042;79425;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;31959;23980;95499;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;27103;20919;94919;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
27;38116;30905;114826;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
24;38475;34005;108574;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;25656;22683;83543;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
24;33131;30811;125035;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;17084;16658;77463;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;16977;16189;60103;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;12098;11971;3927;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
8;7600;7122;31250;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
8;15804;14799;32555;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;11456;10914;34795;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;13490;13070;29361;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;10605;10197;31298;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;11264;10958;24473;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
15;10476;10193;16957;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
16;12684;12200;25913;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
16;10986;10478;23002;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
14;15895;15379;27409;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;8929;7291;22011;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;12437;11016;22076;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
21;8765;8400;29858;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;12533;12078;19921;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
22;14469;13866;30782;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
22;6711;6445;20062;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;15451;11415;27101;26;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;8957;8144;26568;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
26;12255;9925;19602;19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
25;23900;16163;26663;32;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;35696;23320;26904;35;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;23328;15629;21788;33;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;23358;16142;20769;31;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;21834;15350;29291;30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;17359;12664;28998;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;34032;21316;30415;37;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;23317;17165;27349;26;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
23;17385;15314;29134;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
20;11726;10952;26220;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;12976;12136;25599;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;10816;10711;41845;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;16673;16280;25533;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;8261;7484;27347;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;29203;25035;29968;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;11582;11222;36490;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
14;7499;6135;20694;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
14;12956;11531;32063;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;8116;6961;28303;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
8;6334;6189;34750;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;6142;5829;30025;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
9;8255;7351;44264;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;12643;10506;57347;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
9;12458;10698;78911;14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
4;10100;7917;98882;22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
3;11518;8881;59244;23;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
6;9683;7383;32912;24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;11924;9425;37022;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;15110;11828;53462;22;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
9;15989;12121;42296;24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
4;8821;7126;63545;19;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
4;4672;3519;32525;25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;6698;5067;55163;24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
8;10968;8009;47452;27;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
7;20996;13998;65103;33;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
6;14933;13414;46578;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;12125;11594;26308;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;30490;26806;46340;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;17970;17406;51302;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
14;21229;20013;34626;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;13898;12955;42280;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
16;22098;18885;19324;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
25;29267;18210;75000;38;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
25;43605;25477;42827;42;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;17934;12065;29020;33;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
28;11778;8079;28457;31;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;12145;8480;31119;30;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;11890;8501;43645;29;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;17045;13390;86633;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;15384;13060;77859;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
26;42273;33422;102948;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
24;26436;21867;105102;17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;14813;13818;59133;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
24;23138;22530;69907;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;14050;13541;56396;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;14326;14056;59262;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;7868;7581;2638;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
7;3403;2784;8660;18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
9;1902;1470;6257;23;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;2895;2266;5060;22;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;4010;2769;10083;31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
5;5374;3493;13121;35;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
8;7430;4829;11058;35;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
12;7043;4967;13980;29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
10;6482;4360;9748;33;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
8;11334;7888;12146;30;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
10;6270;5304;13407;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
8;9491;8424;11746;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;5325;4909;10286;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;4651;4575;5484;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
13;5259;5128;5936;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
11;5451;5425;5763;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
15;7197;7026;5723;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
16;5859;5730;6473;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;8287;7987;8623;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
14;9193;8886;9069;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;5216;4776;6095;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;4860;4612;6989;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
21;4032;3995;5217;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
19;3624;3582;5846;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;4289;4130;8753;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
22;3068;2998;6979;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;3243;3005;7931;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
23;2210;2081;4559;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
26;2140;1847;6188;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
24;5071;3433;6348;32;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;9766;6669;9231;32;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;6194;4146;6050;33;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;5484;3758;6322;31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
27;4084;2784;6154;32;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
26;6803;4566;6944;33;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;13709;8270;9024;40;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
25;5963;4238;7777;29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
23;7632;6973;8172;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
21;4434;4282;6981;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;4269;3882;6871;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;4109;4004;6541;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;2718;2605;6950;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
18;3186;2914;5664;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
17;3056;2584;5151;15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
12;3219;3184;6777;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
14;1827;1606;4236;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
